SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value,Vendor,Part Number,Cost Source
NIPZINC.5IN,nipple-zinc-plated-threaded-1-8-ips-1-inch,"NIPPLE: Zinc-Plated, Threaded, 1/8 IPS",".5""",active,TRUE,Nipples,230,0.10,0.03,6.90,Satco,,Price sheet 90-5004
NIPZINC1IN,nipple-zinc-plated-threaded-1-8-ips-1-inch,"NIPPLE: Zinc-Plated, Threaded, 1/8 IPS","1""",active,TRUE,Nipples,0,0.15,0.05,,Satco,,Price sheet 90-5008
NIPZINC2IN,nipple-zinc-plated-threaded-1-8-ips-1-inch,"NIPPLE: Zinc-Plated, Threaded, 1/8 IPS","2""",active,TRUE,Nipples,0,0.20,0.09,,Satco,,Price sheet 90-5016
NIPZINC3IN,nipple-zinc-plated-threaded-1-8-ips-1-inch,"NIPPLE: Zinc-Plated, Threaded, 1/8 IPS","3""",active,TRUE,Nipples,229,0.25,0.12,27.48,Satco,,Est (~50% of catalog $0.23)
NIPZINC4IN,nipple-zinc-plated-threaded-1-8-ips-1-inch,"NIPPLE: Zinc-Plated, Threaded, 1/8 IPS","4""",active,TRUE,Nipples,126,0.30,0.14,17.64,Satco,,Est (~50% of catalog $0.27)
NIPZINC5IN,nipple-zinc-plated-threaded-1-8-ips-1-inch,"NIPPLE: Zinc-Plated, Threaded, 1/8 IPS","5""",active,TRUE,Nipples,165,0.40,0.17,28.05,Satco,,Est (~50% of catalog $0.34)
NIPZINC6IN,nipple-zinc-plated-threaded-1-8-ips-1-inch,"NIPPLE: Zinc-Plated, Threaded, 1/8 IPS","6""",active,TRUE,Nipples,154,0.50,0.20,30.80,Satco,,Est (~50% of catalog $0.40)
NIPZINC7IN,nipple-zinc-plated-threaded-1-8-ips-1-inch,"NIPPLE: Zinc-Plated, Threaded, 1/8 IPS","7""",active,TRUE,Nipples,63,0.60,0.25,15.75,Satco,,Est (~50% of catalog $0.49)
NIPZINC8IN,nipple-zinc-plated-threaded-1-8-ips-1-inch,"NIPPLE: Zinc-Plated, Threaded, 1/8 IPS","8""",active,TRUE,Nipples,19,0.70,0.26,4.94,Satco,,Est (~50% of catalog $0.52)
PCOVERBK,plug-cover-black-cardboard,"PLUG COVER, cardboard",Default Title,active,TRUE,Plugs,81,0.75,0.40,32.40,B&P,40319,B&P price 40319
PIPITHD1.5BR,pipe-inside-threading-1-5-inch-brass,"PIPE, Inside Threading, 1.5 Inch, Brass",Default Title,active,TRUE,Plugs,1,3.75,,,,,
