SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value
W182CPDWLHF,2-conductor-18-gauge-dark-brown-and-white-large-hounds-tooth-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE LARGE HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,1400,0.90,0.16,224.00
W182CPDWLHMNS,2-conductor-18-gauge-dark-brown-and-white-large-hounds-tooth-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE LARGE HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,TRUE,Wire,8,80.00,17.46,139.68
W182CPDWLHS,2-conductor-18-gauge-dark-brown-and-white-large-hounds-tooth-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE LARGE HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,14,80.00,17.46,244.44
W182CPDWSHF,2-conductor-18-gauge-dark-brown-and-white-small-hounds-tooth-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,1130,0.90,0.16,180.80
W182CPDWSHMNS,2-conductor-18-gauge-dark-brown-and-white-small-hounds-tooth-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,TRUE,Wire,8,80.00,17.46,139.68
W182CPDWSHS,2-conductor-18-gauge-dark-brown-and-white-small-hounds-tooth-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,11,80.00,17.46,192.06
W182CPDWZZF,2-conductor-18-gauge-dark-brown-and-white-zig-zag-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE ZIG-ZAG COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,1100,0.90,0.16,176.00
W182CPDWZZMNS,2-conductor-18-gauge-dark-brown-and-white-zig-zag-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE ZIG-ZAG COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,TRUE,Wire,27,80.00,17.46,471.42
W182CPDWZZS,2-conductor-18-gauge-dark-brown-and-white-zig-zag-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE ZIG-ZAG COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,11,80.00,17.46,192.06
W182CPGDXXF,2-conductor-18-gauge-gold-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE GOLD COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,990,0.90,0.16,158.40
W182CPGDXXMNS,2-conductor-18-gauge-gold-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE GOLD COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,TRUE,Wire,17,40.00,17.46,296.82
W182CPGDXXS,2-conductor-18-gauge-gold-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE GOLD COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,10,80.00,17.46,174.60
W182CPGGZZF,2-conductor-18-gauge-gold-and-green-zig-zag-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE GOLD & GREEN ZIG-ZAG COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,464,0.90,0.16,74.24
